Year,ANA_station,Area,River ,Max_level_days,Min_level_days,High_flows ,Very_highflows,Low_flows,Very_lowflows,Maximum_level,Minimum_level,January,February,March,April,May,June,July,August,September,October,November,December,day30_min,day90_min,day30_max,day90_max,Date_min,Date_max,Rise_rate,Fall_rate,Reversals
1990,obidos,santarem ,lower_amz,1,-4,0.53,0,0.47,0.13,-41.5,-90.3,125100,151200,194200,215700,230100,229900,217600,192300,152600,105600,92080,116600,89770,104300,231500,227200,304,154,1028,-1105,29
1991,obidos,santarem ,lower_amz,2,13,0.61,0,0.39,0.18,-26.5,-96.3,148800,175900,182200,210300,232500,238100,222900,198700,156100,106100,86600,98770,86450,96580,238900,232000,321,155,887.7,-1103,34
1992,obidos,santarem ,lower_amz,-24,5,0.26,0,0.74,0.12,-152.5,-33.3,111900,127200,145900,182800,192100,178900,157500,136900,117300,106200,96220,116200,96220,104100,192700,184900,313,129,898.5,-669.9,38
1993,obidos,santarem ,lower_amz,-9,4,0.56,0,0.44,0,-10.5,48.7,146700,169100,200700,230200,244300,240100,223100,190800,151100,119800,114900,140400,111400,123800,244800,239400,312,144,944.6,-1000,34
1994,obidos,santarem ,lower_amz,-2,25,0.71,0.06,0.29,0,22.5,46.7,171400,198100,225300,243500,254600,255000,245000,214700,176100,139300,115100,119700,112200,124100,256200,252800,333,151,998.2,-1002,32
1995,obidos,santarem ,lower_amz,-2,-6,0.42,0,0.58,0.21,-61.5,-154.3,143700,153000,163900,188000,217000,223200,206500,171900,113900,79910,83340,114100,77070,87890,224600,216500,302,151,864,-1122,32
1996,obidos,santarem ,lower_amz,-18,2,0.56,0,0.45,0,2.5,40.7,139500,164100,199800,232200,247600,246800,229500,197500,154200,114100,111800,124900,108900,116700,249100,244100,310,135,941.3,-1088,36
1997,obidos,santarem ,lower_amz,-19,6,0.51,0.12,0.49,0.25,37.5,-176.3,140700,161400,192600,239300,262400,253800,225000,182200,127200,80550,76390,94700,74780,83260,263500,253300,314,134,1092,-1282,43
1998,obidos,santarem ,lower_amz,1,-3,0.4,0,0.6,0.17,-102.5,-150.3,118700,134000,153200,175400,200000,210100,204300,177300,130700,86700,88090,116000,79820,95560,210100,205200,305,154,793.4,-1167,20
1999,obidos,santarem ,lower_amz,1,16,0.6,0.15,0.4,0.13,43.5,-47.3,133000,166500,208600,235200,256400,265400,249300,220800,177300,123100,96830,98560,93660,105400,266900,257500,324,154,1057,-1158,20
2000,obidos,santarem ,lower_amz,3,36,0.56,0.04,0.44,0,14.5,39.7,129500,154100,183600,220900,249100,250200,238400,214500,175600,136300,118200,112900,111600,121800,254000,246400,344,156,1010,-921.8,24
2001,obidos,santarem ,lower_amz,-20,6,0.56,0,0.44,0.15,-2.5,-52.3,134400,168900,202000,236400,246400,242200,226400,190000,147800,108300,93590,107300,93010,102700,246400,243100,314,133,1034,-1115,28
2002,obidos,santarem ,lower_amz,20,-1,0.56,0,0.44,0.06,-15.5,-30.3,145100,159100,185900,213700,232100,241600,234300,208300,168700,121400,101400,121100,99260,114100,241900,236200,307,173,893.7,-1165,18
2003,obidos,santarem ,lower_amz,18,15,0.53,0,0.47,0,-43.5,35.7,139600,153800,169900,202000,226100,230300,220500,197800,163700,122200,108300,110400,108200,113000,230300,226100,323,171,745.1,-928.1,27
2004,obidos,santarem ,lower_amz,-18,19,0.48,0,0.52,0,-65.5,44.7,129700,156700,176600,205800,222200,214700,196300,174600,147300,120900,109300,117800,109100,115700,222700,215200,327,135,849.4,-802.6,12
2005,obidos,santarem ,lower_amz,-17,-7,0.45,0,0.55,0.2,-5.5,-171.3,135700,151100,191500,229600,244500,233200,203800,159500,108700,79490,87890,115000,77610,89600,245600,236000,301,136,979.1,-1255,16
2006,obidos,santarem ,lower_amz,-3,-3,0.57,0.18,0.43,0.12,68.5,-60.3,147700,181300,222100,245700,271400,268500,236300,188200,136900,97820,97040,121200,92330,103900,275700,263400,305,150,1069,-1294,16
1990,manaus,manaus,negro_river,-8,-1,0.53,0,0.47,0.16,-35.3,-133.4,65130,89660,108300,120200,131300,135400,130000,116200,89710,59700,58710,80130,55130,65170,135400,132500,301,165,532.8,-685.8,11
1991,manaus,manaus,negro_river,13,3,0.48,0,0.52,0.1,-30.3,-220.4,93350,96150,97890,111800,126400,135000,135000,121000,91770,64930,61850,73260,57720,66500,136200,133100,305,186,403,-612.8,7
1992,manaus,manaus,negro_river,-31,-249,0.28,0,0.73,0.17,-269.3,-75.4,71610,66440,80620,103900,112000,109800,98190,82080,70920,64510,62440,75450,61540,65390,112600,109000,52,142,552.3,-390.4,7
1993,manaus,manaus,negro_river,-6,-4,0.59,0.17,0.41,0,62.7,101.6,92430,101900,113700,129300,140300,146200,139800,118700,92790,74070,76790,93790,71430,79760,146200,142300,298,167,400.7,-606.2,2
1994,manaus,manaus,negro_river,5,25,0.73,0.22,0.27,0,86.7,197.6,103800,110800,118900,129700,139800,147900,147000,133300,109200,84610,76150,83450,75880,81190,149100,145500,327,178,307.2,-534.7,8
1995,manaus,manaus,negro_river,8,1,0.36,0,0.64,0.22,-115.3,-351.4,87580,86090,87530,102500,117400,126500,123700,102100,61960,49850,56140,74250,49460,55330,127200,122900,303,181,433.5,-558.7,28
1996,manaus,manaus,negro_river,2,-15,0.54,0.08,0.47,0,18.7,37.6,85450,95300,110900,123100,133000,141000,136700,116800,88420,67370,71790,76340,67210,71370,141400,137100,287,175,344.7,-642.7,11
1997,manaus,manaus,negro_river,-16,7,0.47,0.16,0.53,0.24,59.7,-408.4,84090,88170,107400,128400,141300,145600,136000,110200,72210,50830,50980,63860,48260,54090,146000,141500,309,157,447.9,-691.1,10
1998,manaus,manaus,negro_river,10,-1,0.39,0,0.61,0.16,-64.3,-346.4,76930,83740,91590,103800,120800,131300,129800,109700,74440,52770,59150,72410,50640,60190,132400,128000,301,183,398.1,-664.4,3
1999,manaus,manaus,negro_river,8,25,0.59,0.24,0.41,0.16,110.7,-154.4,75910,98150,118400,128700,141500,150800,150000,135600,102400,69670,59090,62230,58300,63350,151900,148200,327,181,442.6,-685.7,2
2000,manaus,manaus,negro_river,14,43,0.5,0.08,0.51,0.05,21.7,-45.4,77650,84120,94070,110800,128200,139500,140200,129200,105600,81290,70690,65690,64640,72220,141500,137600,345,187,427.5,-522.9,2
2001,manaus,manaus,negro_river,-2,2,0.54,0,0.46,0.17,-6.3,-159.4,77980,96840,109900,123900,132700,138100,134000,116400,85900,63740,59970,67750,58430,63490,138400,135100,304,171,413.6,-620.4,9
2002,manaus,manaus,negro_river,6,1,0.56,0.15,0.44,0.06,63.7,-102.4,88200,92220,105900,121300,134500,144900,143200,128600,105100,70360,67880,81670,62440,73030,146100,141600,303,179,443.5,-674.3,4
2003,manaus,manaus,negro_river,4,0,0.49,0.06,0.37,0,9.7,82.6,89880,90270,97210,111700,127600,139000,139000,126900,99420,71490,68590,69020,68450,69490,140600,136700,314,177,358.6,-518.7,20
2004,manaus,manaus,negro_river,-10,14,0.43,0,0.57,0,-134.3,118.6,87720,87830,90430,109200,121100,125400,121400,109700,89200,74630,71180,78870,71030,74660,125400,122800,316,163,372.8,-396.2,12
2005,manaus,manaus,negro_river,-18,-7,0.44,0,0.56,0.2,-20.3,-395.4,85580,90250,109000,122200,134200,135200,121900,92460,63380,49580,59720,71430,49060,57170,136700,131900,295,155,405.9,-658.1,2
2006,manaus,manaus,negro_river,-13,-7,0.53,0.1,0.47,0.17,34.7,-155.4,85950,103900,117600,125200,137100,142700,130600,104700,75300,58210,60120,76380,57340,62600,143000,137500,295,159,434,-661.5,4